Model,MAE,RMSE,R2,Train MAE
Ridge (L2),1.2522691467104823,1.6514936427172624,-0.7958658703290535,0.31122143726969914
Lasso (L1),0.9094345561546565,1.1729307543881748,0.09413218053641459,0.7542817259845923
Random Forest,0.8961728997904165,1.1641550675318093,0.10763659825433325,0.3985632700334602
